player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Takehiro Tomiyasu,DF,Japan,24,1998,2.1,118.0,11.0,60.0,43.0,15.0,2.0,118.0,0.0,0.0,,2.0,0.0,68.0,1.0
Takuma Asano,FW,Japan,28,1994,1.8,49.0,2.0,6.0,16.0,28.0,9.0,49.0,0.0,1.0,0.0,7.0,1.0,27.0,11.0
Takumi Minamino,FW,Japan,27,1995,0.7,32.0,1.0,7.0,12.0,13.0,4.0,32.0,0.0,0.0,,2.0,2.0,20.0,5.0
Tarek Salman,DF,Qatar,25,1997,0.1,14.0,1.0,7.0,6.0,1.0,0.0,14.0,0.0,0.0,,0.0,0.0,9.0,0.0
Tariq Lamptey,DF,Ghana,22,2000,1.1,50.0,7.0,23.0,18.0,10.0,1.0,50.0,0.0,3.0,0.0,1.0,1.0,17.0,3.0
Teun Koopmeiners,MF,Netherlands,24,1998,2.4,149.0,7.0,32.0,95.0,22.0,0.0,149.0,1.0,2.0,50.0,2.0,4.0,99.0,7.0
Theo Hernández,DF,France,25,1997,5.6,383.0,13.0,87.0,198.0,100.0,8.0,383.0,2.0,5.0,40.0,6.0,5.0,248.0,13.0
Thiago Almada,MF,Argentina,21,2001,0.1,15.0,0.0,0.0,8.0,7.0,0.0,15.0,0.0,0.0,,2.0,0.0,15.0,2.0
Thiago Silva,DF,Brazil,38,1984,4.3,368.0,22.0,139.0,219.0,10.0,3.0,368.0,0.0,1.0,0.0,2.0,0.0,289.0,0.0
Thibaut Courtois,GK,Belgium,30,1992,3.0,129.0,121.0,128.0,1.0,0.0,0.0,129.0,1.0,1.0,100.0,0.0,0.0,66.0,0.0
Thilo Kehrer,DF,Germany,26,1996,0.8,43.0,3.0,21.0,15.0,7.0,0.0,43.0,0.0,0.0,,1.0,0.0,20.0,1.0
Thomas Delaney,MF,Denmark,31,1991,0.5,31.0,2.0,6.0,19.0,6.0,1.0,31.0,0.0,0.0,,0.0,0.0,23.0,0.0
Thomas Meunier,DF,Belgium,31,1991,2.3,167.0,6.0,56.0,69.0,42.0,2.0,167.0,1.0,3.0,33.3,2.0,1.0,114.0,13.0
Thomas Müller,FW,Germany,33,1989,2.2,91.0,0.0,6.0,35.0,52.0,13.0,91.0,0.0,0.0,,4.0,2.0,71.0,11.0
Thomas Partey,MF,Ghana,29,1993,3.0,220.0,17.0,66.0,129.0,28.0,3.0,220.0,3.0,3.0,100.0,5.0,4.0,148.0,5.0
Thorgan Hazard,FW,Belgium,29,1993,1.2,66.0,0.0,11.0,26.0,30.0,2.0,66.0,0.0,2.0,0.0,4.0,0.0,39.0,9.0
Tim Ream,DF,United States,35,1987,4.0,305.0,25.0,117.0,180.0,9.0,3.0,305.0,2.0,2.0,100.0,4.0,0.0,203.0,0.0
Timothy Castagne,DF,Belgium,27,1995,3.0,229.0,11.0,80.0,119.0,30.0,2.0,229.0,0.0,2.0,0.0,3.0,0.0,164.0,6.0
Timothy Weah,FW,United States,22,2000,3.5,132.0,0.0,8.0,54.0,72.0,11.0,132.0,2.0,2.0,100.0,9.0,5.0,99.0,18.0
Toby Alderweireld,DF,Belgium,33,1989,3.0,303.0,40.0,172.0,127.0,8.0,1.0,303.0,0.0,0.0,,2.0,0.0,243.0,0.0
Trent Alexander-Arnold,DF,England,24,1998,0.4,24.0,0.0,10.0,12.0,2.0,0.0,24.0,0.0,0.0,,0.0,0.0,15.0,0.0
Tyler Adams,MF,United States,23,1999,4.0,307.0,8.0,67.0,205.0,36.0,0.0,307.0,1.0,1.0,100.0,4.0,3.0,192.0,2.0
Unai Simón,GK,Spain,25,1997,4.3,167.0,133.0,163.0,4.0,0.0,0.0,167.0,0.0,0.0,,0.0,0.0,112.0,0.0
Uriel Antuna,FW,Mexico,25,1997,0.9,33.0,0.0,2.0,14.0,18.0,1.0,33.0,0.0,1.0,0.0,6.0,0.0,24.0,6.0
Vanja Milinković-Savić,GK,Serbia,25,1997,3.0,136.0,105.0,131.0,5.0,0.0,0.0,136.0,0.0,0.0,,0.0,0.0,64.0,0.0
Victor Nelsson,DF,Denmark,24,1998,1.0,79.0,4.0,17.0,59.0,3.0,0.0,79.0,0.0,0.0,,0.0,0.0,58.0,0.0
Vincent Aboubakar,FW,Cameroon,30,1992,1.6,50.0,6.0,8.0,19.0,23.0,8.0,50.0,5.0,7.0,71.4,3.0,0.0,32.0,7.0
Vincent Janssen,FW,Netherlands,28,1994,1.0,32.0,1.0,1.0,12.0,19.0,4.0,32.0,1.0,1.0,100.0,4.0,1.0,22.0,5.0
Vinicius Júnior,FW,Brazil,22,2000,3.3,132.0,2.0,10.0,41.0,83.0,19.0,132.0,5.0,15.0,33.3,8.0,11.0,105.0,22.0
Virgil van Dijk,DF,Netherlands,31,1991,5.3,399.0,61.0,211.0,181.0,8.0,4.0,399.0,0.0,0.0,,2.0,0.0,275.0,0.0
Vitinha,MF,Portugal,22,2000,1.3,118.0,1.0,7.0,79.0,32.0,0.0,118.0,1.0,2.0,50.0,2.0,1.0,102.0,5.0
Wahbi Khazri,FW,Tunisia,31,1991,0.9,36.0,0.0,5.0,12.0,19.0,5.0,36.0,0.0,3.0,0.0,3.0,2.0,20.0,7.0
Wajdi Kechrida,DF,Tunisia,27,1995,1.2,77.0,4.0,28.0,25.0,25.0,1.0,77.0,0.0,3.0,0.0,1.0,3.0,42.0,7.0
Walid Cheddira,FW,Morocco,24,1998,0.7,18.0,2.0,2.0,10.0,6.0,4.0,18.0,0.0,1.0,0.0,3.0,0.0,13.0,4.0
Walker Zimmerman,DF,United States,29,1993,3.1,274.0,26.0,137.0,132.0,5.0,1.0,274.0,0.0,0.0,,0.0,0.0,191.0,0.0
Wataru Endo,MF,Japan,29,1993,3.4,239.0,14.0,60.0,139.0,41.0,2.0,239.0,1.0,5.0,20.0,2.0,5.0,147.0,3.0
